training_id,employee_id,course_name,provider,category,start_date,completion_date,status,score_pct,hours_spent,cost_usd,certificate_earned,mandatory,ai_recommended,skill_gap_addressed
TRN00204,EMP01907,Excel Advanced,Pluralsight,Domain,2023-07-16,2023-11-25,Completed,74,14,930,No,Yes,Yes,Docker
TRN00205,EMP01429,UX Design Thinking,Skillsoft,Compliance,2023-06-10,2023-06-08,Completed,78,12,136,No,Yes,No,SQL
TRN00206,EMP01433,AWS Certification,Udemy,Leadership,2024-07-16,2024-08-02,Passed,68,51,757,Yes,Yes,No,Customer Success
TRN00207,EMP01256,Diversity & Inclusion,Udemy,Domain,2024-02-24,,In Progress,,66,1118,No,No,No,JavaScript
TRN00208,EMP02047,Data Privacy (GDPR),LinkedIn Learning,Compliance,2024-02-20,2024-06-06,Passed,100,37,899,Yes,Yes,Yes,NLP
TRN00209,EMP01119,Legal Compliance 2024,Pluralsight,Domain,2024-03-15,,In Progress,,44,1157,No,Yes,Yes,Customer Success
TRN00210,EMP01360,Machine Learning Basics,Harvard Online,Compliance,2024-10-25,,In Progress,,79,522,No,Yes,Yes,Rust
TRN00211,EMP01951,Product Management 101,LinkedIn Learning,Leadership,2024-05-29,,Enrolled,,35,512,No,Yes,Yes,Kubernetes
TRN00212,EMP02193,Leadership Fundamentals,Internal,Leadership,2023-04-28,,Enrolled,,41,1342,No,No,No,React
TRN00213,EMP01953,Communication Skills,Pluralsight,Leadership,2023-01-14,,Failed,64,11,1039,No,Yes,No,Scrum
TRN00214,EMP01899,Leadership Fundamentals,Pluralsight,Technical,2024-07-13,,Failed,98,71,199,No,Yes,No,Power BI
TRN00215,EMP01085,Leadership Fundamentals,LinkedIn Learning,Leadership,2023-01-04,2024-06-04,Completed,77,37,1429,No,No,No,Salesforce
TRN00216,EMP01340,Communication Skills,LinkedIn Learning,Leadership,2024-04-26,,Enrolled,,19,183,No,Yes,Yes,HubSpot
TRN00217,EMP01113,Agile & Scrum,Coursera,Domain,2023-10-07,,Failed,83,18,823,No,No,Yes,Customer Success
TRN00218,EMP01194,Financial Analysis,LinkedIn Learning,Technical,2023-11-04,2024-03-20,Completed,71,3,1740,No,Yes,Yes,Excel
TRN00219,EMP01743,Mental Health at Work,Skillsoft,Leadership,2024-10-19,,In Progress,,55,611,No,Yes,No,Product Management
TRN00220,EMP01662,Security Awareness,Udemy,Soft Skills,2024-06-03,2024-01-13,Passed,80,56,1615,Yes,Yes,Yes,Figma
TRN00221,EMP01821,Product Management 101,Pluralsight,Domain,2023-03-15,2023-02-15,Completed,91,27,293,No,No,No,TypeScript
TRN00222,EMP01860,Data Privacy (GDPR),Skillsoft,Technical,2023-08-31,,Enrolled,,59,1960,No,No,No,Product Management
TRN00223,EMP01130,Security Awareness,Harvard Online,Compliance,2024-12-07,2023-07-17,Completed,89,42,1757,No,Yes,Yes,HubSpot
TRN00224,EMP01790,UX Design Thinking,Skillsoft,Technical,2024-10-02,2023-10-30,Completed,96,37,80,No,Yes,No,UX Research
TRN00225,EMP01623,Legal Compliance 2024,Udemy,Soft Skills,2024-08-24,2024-04-14,Passed,99,68,1098,Yes,Yes,Yes,Power BI
TRN00226,EMP01730,Leadership Fundamentals,Internal,Leadership,2024-11-29,2023-02-02,Completed,80,75,1885,No,No,No,Excel
TRN00227,EMP01961,Docker & Kubernetes,Harvard Online,Technical,2023-09-15,,In Progress,,20,754,No,Yes,Yes,Go
TRN00228,EMP01674,React Development,Internal,Soft Skills,2023-05-15,2024-01-18,Completed,77,77,803,No,No,Yes,Data Visualization
TRN00229,EMP02146,Diversity & Inclusion,Skillsoft,Leadership,2023-08-08,2024-05-22,Completed,68,28,1126,No,Yes,No,Rust
TRN00230,EMP01172,AWS Certification,Internal,Leadership,2023-07-04,,Failed,98,51,1376,No,No,Yes,Customer Success
TRN00231,EMP02124,Legal Compliance 2024,Udemy,Compliance,2023-06-23,,Enrolled,,69,1154,No,Yes,Yes,UX Research
TRN00232,EMP01252,Financial Analysis,Skillsoft,Compliance,2023-10-25,2024-02-08,Completed,60,53,1036,No,No,Yes,Recruitment
TRN00233,EMP01886,SQL Mastery,Udemy,Technical,2024-09-30,,Enrolled,,11,1374,No,Yes,Yes,React
TRN00234,EMP01410,AWS Certification,Internal,Domain,2023-11-30,2023-08-04,Completed,79,70,1595,No,No,No,UX Research
TRN00235,EMP01509,Product Management 101,LinkedIn Learning,Leadership,2023-06-22,,Enrolled,,35,50,No,No,Yes,Account Management
TRN00236,EMP01431,AWS Certification,Internal,Soft Skills,2023-04-04,,Failed,87,51,1572,No,No,Yes,Data Visualization
TRN00237,EMP01085,SQL Mastery,Udemy,Leadership,2024-08-23,2023-01-17,Completed,76,58,544,No,Yes,Yes,GCP
TRN00238,EMP02095,React Development,Harvard Online,Leadership,2023-01-22,2024-01-19,Passed,92,5,1420,Yes,No,No,HR Analytics
TRN00239,EMP01010,Diversity & Inclusion,Skillsoft,Domain,2023-04-10,,Enrolled,,65,106,No,Yes,No,Docker
TRN00240,EMP01408,Leadership Fundamentals,Internal,Compliance,2023-08-29,2023-01-19,Completed,95,58,1784,No,No,Yes,Docker
TRN00241,EMP01549,React Development,Harvard Online,Leadership,2024-03-31,,Dropped,,30,571,No,No,Yes,Java
TRN00242,EMP01094,Financial Analysis,Skillsoft,Technical,2023-02-15,2024-06-25,Completed,83,73,660,No,No,Yes,TypeScript
TRN00243,EMP02040,Conflict Resolution,LinkedIn Learning,Technical,2024-03-23,2024-05-23,Completed,97,23,1964,No,Yes,Yes,Go
TRN00244,EMP01099,Financial Analysis,Udemy,Leadership,2023-04-05,,Enrolled,,63,251,No,No,No,Node.js
TRN00245,EMP01975,Mental Health at Work,Udemy,Leadership,2023-05-24,,In Progress,,5,138,No,No,No,Excel
TRN00246,EMP01951,Machine Learning Basics,Internal,Technical,2023-09-10,2023-08-13,Passed,68,43,1134,Yes,Yes,Yes,HR Analytics
TRN00247,EMP02029,Machine Learning Basics,Pluralsight,Technical,2023-08-22,2023-01-19,Completed,62,40,1393,No,Yes,No,Docker
TRN00248,EMP01536,Conflict Resolution,Pluralsight,Technical,2024-11-15,,In Progress,,44,503,No,Yes,Yes,HubSpot
TRN00249,EMP01809,Agile & Scrum,Pluralsight,Leadership,2024-12-10,,Enrolled,,50,338,No,No,Yes,Figma
TRN00250,EMP01620,Python for Data Science,Harvard Online,Technical,2023-02-05,2024-03-21,Completed,64,75,711,No,Yes,No,SQL
TRN00251,EMP01768,Communication Skills,Pluralsight,Domain,2024-03-17,,In Progress,,43,395,No,No,No,Azure
TRN00252,EMP01439,Agile & Scrum,Pluralsight,Technical,2024-07-28,2024-05-06,Completed,95,48,1791,No,Yes,Yes,Rust
TRN00253,EMP01441,Excel Advanced,Internal,Technical,2023-07-01,,Enrolled,,45,134,No,No,Yes,Project Management
TRN00254,EMP01141,Mental Health at Work,Pluralsight,Technical,2023-05-14,,Failed,79,10,671,No,Yes,Yes,Docker
TRN00255,EMP01119,Data Privacy (GDPR),Udemy,Soft Skills,2024-07-13,,Enrolled,,60,423,No,Yes,Yes,Project Management
TRN00256,EMP01062,Security Awareness,Harvard Online,Domain,2024-08-26,,Enrolled,,58,1233,No,No,No,Data Analysis
TRN00257,EMP01674,Docker & Kubernetes,LinkedIn Learning,Leadership,2024-12-07,,Enrolled,,39,1317,No,Yes,Yes,Financial Modeling
TRN00258,EMP01859,UX Design Thinking,Udemy,Technical,2024-05-05,2023-05-10,Passed,81,79,558,Yes,Yes,Yes,Data Visualization
TRN00259,EMP01557,Product Management 101,Skillsoft,Technical,2023-07-17,2023-08-31,Completed,61,77,1049,No,No,Yes,Salesforce
TRN00260,EMP01523,Communication Skills,Harvard Online,Compliance,2023-11-28,2023-10-25,Completed,99,34,1657,No,Yes,Yes,Tableau
TRN00261,EMP01496,Agile & Scrum,LinkedIn Learning,Technical,2023-08-29,,Failed,85,27,302,No,No,No,Power BI
TRN00262,EMP02132,AWS Certification,Udemy,Soft Skills,2023-07-14,2024-10-30,Completed,73,3,712,No,No,Yes,Customer Success
TRN00263,EMP01336,AWS Certification,Skillsoft,Soft Skills,2024-05-19,2023-05-24,Completed,73,55,961,No,Yes,Yes,Machine Learning
TRN00264,EMP02084,Excel Advanced,Skillsoft,Compliance,2024-10-09,,Failed,71,21,156,No,Yes,Yes,AWS
TRN00265,EMP01750,Public Speaking,Pluralsight,Soft Skills,2024-11-09,,In Progress,,8,1039,No,No,Yes,Legal Research
TRN00266,EMP01312,Excel Advanced,Coursera,Domain,2024-10-30,2023-03-06,Passed,72,68,1649,Yes,Yes,Yes,Account Management
TRN00267,EMP01883,React Development,Harvard Online,Technical,2023-06-15,,In Progress,,4,1758,No,Yes,Yes,Legal Research
TRN00268,EMP01584,Mental Health at Work,Skillsoft,Technical,2024-07-12,,Enrolled,,17,544,No,Yes,Yes,Salesforce
TRN00269,EMP01939,Mental Health at Work,Internal,Soft Skills,2024-07-09,,Dropped,,33,1808,No,No,Yes,Financial Modeling
TRN00270,EMP01012,Diversity & Inclusion,Pluralsight,Leadership,2024-05-12,2024-11-05,Completed,97,57,1024,No,Yes,No,Scrum
TRN00271,EMP01809,Leadership Fundamentals,Udemy,Compliance,2023-10-18,,In Progress,,55,535,No,No,Yes,Deep Learning
TRN00272,EMP01957,Public Speaking,Pluralsight,Leadership,2023-10-06,2024-06-10,Completed,77,5,1414,No,Yes,Yes,C++
TRN00273,EMP01046,Public Speaking,Coursera,Leadership,2024-01-17,2023-09-19,Passed,69,21,1897,Yes,No,Yes,HR Analytics
TRN00274,EMP01805,Product Management 101,Internal,Leadership,2024-07-07,2024-08-13,Completed,95,28,1689,No,No,Yes,Account Management
TRN00275,EMP01985,AWS Certification,LinkedIn Learning,Domain,2024-02-06,,In Progress,,47,1565,No,No,No,Power BI
TRN00276,EMP02054,Machine Learning Basics,Coursera,Soft Skills,2023-10-05,2024-07-05,Passed,76,45,1972,Yes,No,No,Product Management
TRN00277,EMP01611,Excel Advanced,Skillsoft,Soft Skills,2024-03-02,,In Progress,,26,446,No,No,No,Go
TRN00278,EMP01090,Agile & Scrum,Coursera,Leadership,2024-01-03,,In Progress,,77,773,No,No,Yes,Adobe XD
TRN00279,EMP01447,Conflict Resolution,LinkedIn Learning,Domain,2024-11-14,,Enrolled,,36,1913,No,Yes,Yes,Recruitment
TRN00280,EMP02181,UX Design Thinking,Internal,Technical,2023-02-20,2024-05-09,Passed,62,51,238,Yes,Yes,No,Python
TRN00281,EMP01258,Excel Advanced,Harvard Online,Compliance,2024-08-26,2024-03-03,Completed,60,50,1887,No,No,Yes,HubSpot
TRN00282,EMP01511,Public Speaking,Harvard Online,Compliance,2023-01-24,2024-09-01,Completed,79,38,439,No,No,Yes,Figma
TRN00283,EMP01775,Product Management 101,Pluralsight,Leadership,2023-03-09,,In Progress,,70,223,No,No,No,Salesforce
TRN00284,EMP01635,Docker & Kubernetes,Internal,Domain,2023-05-14,,Enrolled,,57,1334,No,Yes,No,Recruitment
TRN00285,EMP02019,Leadership Fundamentals,Pluralsight,Domain,2024-11-05,,Enrolled,,62,1931,No,Yes,Yes,Node.js
TRN00286,EMP01326,Data Privacy (GDPR),Skillsoft,Technical,2024-04-21,2024-04-24,Completed,77,56,896,No,No,Yes,Deep Learning
TRN00287,EMP01437,Public Speaking,Skillsoft,Leadership,2023-02-24,2023-11-25,Passed,81,45,1616,Yes,Yes,Yes,Deep Learning
TRN00288,EMP01301,Product Management 101,Harvard Online,Soft Skills,2023-04-02,2024-04-26,Completed,68,64,1432,No,No,Yes,Java
TRN00289,EMP02017,Mental Health at Work,Pluralsight,Compliance,2023-08-29,2023-09-21,Completed,61,20,801,No,Yes,Yes,Node.js
TRN00290,EMP01182,Mental Health at Work,Harvard Online,Compliance,2023-06-05,2024-01-26,Completed,73,23,426,No,Yes,Yes,Go
TRN00291,EMP02025,Mental Health at Work,Harvard Online,Compliance,2024-04-25,,Failed,90,67,1408,No,No,No,Docker
TRN00292,EMP01053,Product Management 101,Udemy,Technical,2024-12-14,2023-03-31,Completed,65,68,859,No,No,Yes,Machine Learning
TRN00293,EMP01676,SQL Mastery,Skillsoft,Compliance,2023-02-17,2023-03-23,Completed,92,71,188,No,No,Yes,Go
TRN00294,EMP02196,Machine Learning Basics,Coursera,Domain,2023-03-18,,Enrolled,,66,1410,No,Yes,No,SQL
TRN00295,EMP01944,AWS Certification,Harvard Online,Soft Skills,2023-04-23,2024-08-27,Completed,77,69,347,No,Yes,No,Scrum
TRN00296,EMP02021,Excel Advanced,Harvard Online,Domain,2023-09-27,2024-03-18,Completed,74,49,914,No,Yes,Yes,Power BI
TRN00297,EMP01577,Excel Advanced,LinkedIn Learning,Compliance,2024-04-28,,In Progress,,31,1715,No,No,No,HubSpot
TRN00298,EMP01665,Docker & Kubernetes,Udemy,Leadership,2023-09-28,2024-11-21,Completed,89,78,1891,No,Yes,Yes,Account Management
TRN00299,EMP01874,Docker & Kubernetes,Coursera,Soft Skills,2023-09-11,,In Progress,,26,868,No,No,Yes,AWS
TRN00300,EMP02001,AWS Certification,LinkedIn Learning,Compliance,2023-10-04,2023-06-13,Completed,74,58,502,No,No,No,JavaScript
TRN00301,EMP01401,Machine Learning Basics,Harvard Online,Compliance,2024-07-07,,Enrolled,,70,1850,No,No,Yes,NLP
TRN00302,EMP01570,Communication Skills,Udemy,Compliance,2024-07-31,2023-02-03,Completed,85,33,261,No,No,No,Salesforce
TRN00303,EMP02106,Machine Learning Basics,Skillsoft,Domain,2023-10-20,2023-02-08,Completed,60,38,307,No,Yes,Yes,Recruitment
TRN00304,EMP01838,Mental Health at Work,Pluralsight,Compliance,2024-04-15,,In Progress,,54,1454,No,Yes,Yes,Legal Research
TRN00305,EMP01582,Conflict Resolution,Skillsoft,Leadership,2024-08-09,,Enrolled,,28,1684,No,Yes,No,Excel
TRN00306,EMP01985,Conflict Resolution,Skillsoft,Technical,2024-12-21,2024-05-20,Passed,97,68,1223,Yes,Yes,Yes,Legal Research
TRN00307,EMP01700,Diversity & Inclusion,Pluralsight,Soft Skills,2023-01-17,,Enrolled,,65,1349,No,Yes,Yes,Product Management
TRN00308,EMP01756,Python for Data Science,Coursera,Soft Skills,2024-02-18,2023-05-14,Completed,77,2,1038,No,Yes,Yes,Performance Management
TRN00309,EMP01487,Communication Skills,Skillsoft,Leadership,2023-09-25,,Enrolled,,52,986,No,No,No,Salesforce
TRN00310,EMP01592,Excel Advanced,Skillsoft,Soft Skills,2023-05-29,,Enrolled,,44,46,No,No,No,Account Management
TRN00311,EMP01553,Mental Health at Work,Harvard Online,Domain,2024-11-07,,In Progress,,38,1025,No,Yes,No,Legal Research
TRN00312,EMP01484,Product Management 101,Udemy,Technical,2023-01-30,2023-05-11,Completed,94,74,1506,No,Yes,Yes,Marketing Analytics
TRN00313,EMP02175,Docker & Kubernetes,Harvard Online,Technical,2023-10-31,,Failed,71,38,394,No,Yes,Yes,Product Management
TRN00314,EMP02054,Security Awareness,Skillsoft,Compliance,2024-09-14,,In Progress,,22,1096,No,No,Yes,Legal Research
TRN00315,EMP01579,React Development,LinkedIn Learning,Leadership,2023-08-17,,In Progress,,69,1407,No,No,Yes,Customer Success
TRN00316,EMP01671,AWS Certification,Udemy,Soft Skills,2023-01-13,2024-05-11,Completed,68,12,1688,No,No,Yes,Excel
TRN00317,EMP01926,Financial Analysis,Internal,Technical,2023-07-01,2023-07-08,Passed,69,36,1015,Yes,Yes,Yes,Kubernetes
TRN00318,EMP01936,Agile & Scrum,Udemy,Soft Skills,2024-04-20,2024-07-01,Passed,61,9,795,Yes,No,Yes,Performance Management
TRN00319,EMP02005,Communication Skills,Pluralsight,Soft Skills,2024-07-27,2024-01-06,Completed,80,48,80,No,No,Yes,HR Analytics
TRN00320,EMP01276,Python for Data Science,Coursera,Domain,2023-05-17,2024-11-04,Completed,68,40,547,No,Yes,Yes,React
TRN00321,EMP01918,AWS Certification,Coursera,Domain,2024-01-15,2023-11-22,Completed,91,9,572,No,Yes,Yes,Deep Learning
TRN00322,EMP01585,Conflict Resolution,LinkedIn Learning,Technical,2024-01-19,2023-04-22,Completed,67,67,279,No,Yes,Yes,Adobe XD
TRN00323,EMP01165,Security Awareness,Skillsoft,Domain,2024-01-17,2023-03-05,Completed,64,5,260,No,Yes,Yes,Deep Learning
TRN00324,EMP02080,AWS Certification,Udemy,Domain,2024-08-14,2024-10-14,Completed,68,71,644,No,Yes,No,Machine Learning
TRN00325,EMP01712,Leadership Fundamentals,Udemy,Soft Skills,2023-04-13,2024-12-31,Completed,77,12,803,No,Yes,Yes,SQL
TRN00326,EMP01874,Public Speaking,LinkedIn Learning,Soft Skills,2024-11-29,,Dropped,,20,1974,No,Yes,Yes,HubSpot
TRN00327,EMP01889,Product Management 101,Skillsoft,Soft Skills,2024-11-08,,In Progress,,71,181,No,No,Yes,Product Management
TRN00328,EMP01929,AWS Certification,Skillsoft,Domain,2024-10-25,2023-11-08,Completed,67,75,959,No,Yes,No,Scrum
TRN00329,EMP01357,AWS Certification,Pluralsight,Technical,2023-04-21,2023-12-23,Completed,77,28,1498,No,Yes,No,Go
TRN00330,EMP01079,Product Management 101,Coursera,Technical,2023-11-05,2024-11-21,Completed,95,68,280,No,Yes,No,UX Research
TRN00331,EMP01974,Communication Skills,Skillsoft,Technical,2024-10-06,2023-01-27,Completed,99,72,385,No,Yes,Yes,Data Visualization
TRN00332,EMP01280,UX Design Thinking,Udemy,Domain,2023-07-29,2024-09-16,Completed,89,18,764,No,Yes,Yes,Customer Success
TRN00333,EMP01458,React Development,Skillsoft,Leadership,2024-09-25,2023-04-07,Completed,87,58,1937,No,Yes,Yes,Rust
TRN00334,EMP02192,Data Privacy (GDPR),LinkedIn Learning,Compliance,2024-12-23,,Failed,61,14,467,No,Yes,No,Legal Research
TRN00335,EMP01650,Excel Advanced,Udemy,Soft Skills,2023-11-13,2024-10-07,Completed,97,60,1650,No,Yes,No,Deep Learning
TRN00336,EMP01028,React Development,Harvard Online,Domain,2024-06-05,2024-04-28,Completed,95,57,1694,No,Yes,Yes,Machine Learning
TRN00337,EMP01093,Communication Skills,Harvard Online,Soft Skills,2024-07-10,,Enrolled,,46,591,No,Yes,No,Python
TRN00338,EMP01206,Agile & Scrum,Internal,Leadership,2024-06-16,2024-11-03,Completed,76,42,1404,No,Yes,Yes,Salesforce
TRN00339,EMP02172,Communication Skills,Udemy,Compliance,2024-07-07,2023-09-26,Completed,93,16,1275,No,Yes,No,Python
TRN00340,EMP01429,Data Privacy (GDPR),Pluralsight,Soft Skills,2024-12-24,2024-03-25,Completed,95,10,579,No,No,Yes,HubSpot
TRN00341,EMP01972,Product Management 101,Pluralsight,Leadership,2024-11-24,,Enrolled,,14,1727,No,No,Yes,HR Analytics
TRN00342,EMP01183,Public Speaking,Pluralsight,Technical,2023-11-18,2023-09-07,Completed,74,36,1954,No,No,Yes,Deep Learning
TRN00343,EMP01791,Excel Advanced,Coursera,Domain,2024-10-14,2023-05-22,Completed,86,78,929,No,Yes,Yes,Azure
TRN00344,EMP01077,Security Awareness,Harvard Online,Technical,2024-05-30,,Failed,81,21,88,No,No,No,UX Research
TRN00345,EMP01492,Python for Data Science,Udemy,Compliance,2023-09-19,,In Progress,,8,697,No,No,No,Communication
TRN00346,EMP02072,UX Design Thinking,Coursera,Domain,2024-04-27,,In Progress,,34,1431,No,Yes,Yes,Communication
TRN00347,EMP01056,Product Management 101,Harvard Online,Compliance,2024-12-22,2024-12-17,Completed,96,19,1546,No,Yes,Yes,Leadership
TRN00348,EMP01412,Machine Learning Basics,Pluralsight,Technical,2023-07-06,2024-06-22,Completed,73,11,1709,No,Yes,No,Legal Research
TRN00349,EMP01417,Public Speaking,LinkedIn Learning,Compliance,2023-05-15,2023-07-08,Passed,92,32,288,Yes,No,Yes,Tableau
TRN00350,EMP01664,Product Management 101,Udemy,Leadership,2024-09-06,,Failed,86,30,7,No,No,Yes,Salesforce
TRN00351,EMP01944,Public Speaking,Harvard Online,Compliance,2024-03-28,2024-06-28,Completed,84,38,137,No,No,Yes,Excel
TRN00352,EMP01806,Mental Health at Work,Skillsoft,Technical,2023-01-14,,Dropped,,45,1474,No,Yes,No,AWS
TRN00353,EMP01243,Mental Health at Work,Pluralsight,Compliance,2024-01-26,2023-06-13,Completed,75,15,1969,No,Yes,No,Project Management
TRN00354,EMP01534,UX Design Thinking,Internal,Soft Skills,2024-10-06,,Dropped,,56,1777,No,Yes,Yes,Node.js
TRN00355,EMP01996,Excel Advanced,Udemy,Compliance,2024-08-17,2023-02-11,Completed,65,46,811,No,No,Yes,Rust
TRN00356,EMP01976,UX Design Thinking,Harvard Online,Compliance,2024-02-18,2024-08-03,Passed,78,13,541,Yes,No,Yes,Go
TRN00357,EMP01307,Communication Skills,Skillsoft,Domain,2023-07-19,2024-11-26,Completed,99,51,1662,No,Yes,No,C++
TRN00358,EMP01662,AWS Certification,Skillsoft,Leadership,2023-05-06,2024-03-09,Completed,83,55,1407,No,No,No,Rust
TRN00359,EMP01577,Conflict Resolution,Udemy,Soft Skills,2024-01-28,2024-01-02,Completed,81,67,802,No,Yes,No,Azure
TRN00360,EMP01126,Public Speaking,Harvard Online,Leadership,2024-04-15,2024-08-07,Completed,84,78,461,No,Yes,No,HR Analytics
TRN00361,EMP01938,Communication Skills,Udemy,Compliance,2023-10-18,2023-07-25,Completed,87,78,1878,No,Yes,Yes,Salesforce
TRN00362,EMP01124,Security Awareness,Skillsoft,Domain,2023-07-31,2024-05-23,Completed,98,38,909,No,No,Yes,Adobe XD
TRN00363,EMP01103,Excel Advanced,Udemy,Soft Skills,2024-02-29,,In Progress,,9,237,No,Yes,No,Excel
TRN00364,EMP01615,Leadership Fundamentals,LinkedIn Learning,Soft Skills,2023-10-17,,In Progress,,44,74,No,Yes,No,Financial Modeling
TRN00365,EMP02012,AWS Certification,Internal,Compliance,2023-11-13,,Enrolled,,80,1476,No,Yes,Yes,Agile
TRN00366,EMP01157,Product Management 101,Internal,Compliance,2024-07-21,,In Progress,,65,770,No,Yes,Yes,Leadership
TRN00367,EMP01652,Product Management 101,Internal,Technical,2023-07-28,2024-01-20,Passed,72,23,1805,Yes,No,Yes,Excel
TRN00368,EMP02140,Security Awareness,Udemy,Leadership,2023-04-11,2024-09-28,Completed,100,20,178,No,No,Yes,Scrum
TRN00369,EMP01561,Financial Analysis,Internal,Leadership,2024-04-13,,Enrolled,,31,1243,No,Yes,No,React
TRN00370,EMP01702,Legal Compliance 2024,Skillsoft,Leadership,2023-06-17,2024-11-13,Passed,72,54,764,Yes,No,No,TypeScript
TRN00371,EMP01384,React Development,Internal,Compliance,2024-12-10,,In Progress,,62,1287,No,Yes,No,UX Research
TRN00372,EMP01045,Security Awareness,Internal,Technical,2024-12-31,2024-11-06,Passed,68,27,523,Yes,No,No,Go
TRN00373,EMP01256,Machine Learning Basics,Pluralsight,Technical,2024-04-11,2024-03-16,Completed,77,70,1470,No,Yes,No,AWS
TRN00374,EMP01441,Agile & Scrum,Coursera,Domain,2024-09-01,,Enrolled,,45,1880,No,No,Yes,TypeScript
TRN00375,EMP01816,Mental Health at Work,Skillsoft,Technical,2024-05-17,2023-01-13,Completed,74,32,1533,No,Yes,No,Agile
TRN00376,EMP02119,Legal Compliance 2024,Coursera,Compliance,2023-07-17,2023-09-12,Completed,62,70,1599,No,No,Yes,Recruitment
TRN00377,EMP01780,Conflict Resolution,Coursera,Leadership,2024-08-05,2024-02-17,Completed,71,41,1265,No,No,No,Legal Research
TRN00378,EMP01128,Excel Advanced,Coursera,Domain,2024-08-25,2024-03-27,Completed,82,69,788,No,Yes,Yes,Account Management
TRN00379,EMP02119,Machine Learning Basics,Coursera,Compliance,2023-10-02,2023-04-11,Completed,84,11,811,No,No,Yes,Account Management
TRN00380,EMP01988,Python for Data Science,Internal,Soft Skills,2023-12-02,2023-10-18,Completed,93,46,396,No,No,Yes,Customer Success
TRN00381,EMP02193,Python for Data Science,LinkedIn Learning,Domain,2023-01-21,,Enrolled,,67,1150,No,Yes,No,Account Management
TRN00382,EMP01685,Public Speaking,Pluralsight,Leadership,2024-01-04,2024-06-26,Passed,76,8,346,Yes,No,Yes,Product Management
TRN00383,EMP01725,Excel Advanced,Pluralsight,Domain,2024-09-04,,In Progress,,20,938,No,Yes,No,Adobe XD
TRN00384,EMP02105,Machine Learning Basics,Skillsoft,Compliance,2023-12-11,2024-07-08,Passed,99,4,700,Yes,No,Yes,Account Management
TRN00385,EMP01094,Public Speaking,Skillsoft,Domain,2023-11-27,,Failed,68,52,153,No,No,Yes,Communication
TRN00386,EMP02165,Mental Health at Work,Udemy,Compliance,2024-01-12,,Enrolled,,53,869,No,Yes,No,NLP
TRN00387,EMP01074,Communication Skills,Pluralsight,Technical,2024-02-26,2023-07-20,Completed,88,76,891,No,Yes,Yes,Rust
TRN00388,EMP01359,Excel Advanced,Harvard Online,Domain,2023-12-27,2024-02-10,Completed,95,33,807,No,No,No,React
TRN00389,EMP02068,Leadership Fundamentals,Harvard Online,Technical,2023-12-04,,Enrolled,,6,1723,No,Yes,No,NLP
TRN00390,EMP01176,React Development,Udemy,Domain,2023-07-01,,Failed,72,43,829,No,Yes,Yes,Product Management
TRN00391,EMP01388,SQL Mastery,LinkedIn Learning,Leadership,2023-04-01,,Dropped,,24,33,No,No,No,Marketing Analytics
TRN00392,EMP01900,Agile & Scrum,Udemy,Domain,2024-03-11,2023-01-03,Completed,84,66,382,No,No,Yes,Tableau
TRN00393,EMP01646,Machine Learning Basics,LinkedIn Learning,Leadership,2023-11-14,2024-12-05,Completed,80,31,1824,No,Yes,Yes,Node.js
TRN00394,EMP01676,Public Speaking,Skillsoft,Technical,2024-05-04,2023-01-31,Completed,60,75,789,No,Yes,Yes,Legal Research
TRN00395,EMP01629,Machine Learning Basics,Udemy,Compliance,2024-08-23,,In Progress,,30,568,No,No,Yes,Data Visualization
TRN00396,EMP01105,AWS Certification,Harvard Online,Compliance,2024-10-27,2024-10-20,Completed,87,28,503,No,No,Yes,Scrum
TRN00397,EMP01995,Python for Data Science,Harvard Online,Technical,2023-09-06,,Failed,70,29,142,No,Yes,Yes,JavaScript
TRN00398,EMP01337,Legal Compliance 2024,Udemy,Leadership,2024-05-30,2023-10-17,Passed,88,31,80,Yes,Yes,No,Recruitment
TRN00399,EMP01067,Python for Data Science,Udemy,Compliance,2023-05-12,2023-02-14,Completed,85,20,1039,No,No,Yes,Power BI
TRN00400,EMP02087,Communication Skills,LinkedIn Learning,Domain,2023-12-05,2023-04-13,Completed,100,11,1350,No,No,Yes,Financial Modeling
TRN00401,EMP02073,Security Awareness,Coursera,Technical,2023-11-16,2023-09-10,Completed,100,50,1014,No,No,Yes,Go
TRN00402,EMP01344,Machine Learning Basics,Internal,Leadership,2024-05-09,2024-03-14,Completed,85,69,263,No,Yes,Yes,JavaScript
TRN00403,EMP02080,Legal Compliance 2024,Coursera,Soft Skills,2024-06-01,,In Progress,,59,1628,No,No,No,Java
TRN00404,EMP01399,Financial Analysis,Coursera,Domain,2024-06-14,2023-06-21,Completed,83,59,62,No,No,No,HubSpot
TRN00405,EMP02141,Security Awareness,Pluralsight,Soft Skills,2024-01-12,2024-10-10,Completed,92,71,1946,No,No,Yes,UX Research
TRN00406,EMP01254,Public Speaking,LinkedIn Learning,Soft Skills,2024-07-10,2023-02-15,Completed,82,38,1405,No,No,Yes,Account Management
TRN00407,EMP02064,Mental Health at Work,Pluralsight,Domain,2023-08-26,2023-01-07,Completed,67,68,1557,No,No,Yes,Excel
TRN00408,EMP01046,Docker & Kubernetes,LinkedIn Learning,Soft Skills,2024-08-10,,Enrolled,,31,1350,No,No,No,Go
TRN00409,EMP02114,React Development,Harvard Online,Technical,2023-01-30,,Enrolled,,34,371,No,No,Yes,HR Analytics
