review_id,employee_id,review_period,reviewer_id,overall_rating,goals_achieved_pct,communication_score,technical_score,leadership_score,collaboration_score,innovation_score,strengths,areas_for_improvement,promotion_recommended,salary_increase_recommended_pct,ai_sentiment_score,review_date
REV00206,EMP02035,Annual 2023,EMP01018,4,116,6,5,1,6,9,Innovative thinker,Documentation,No,8,3.22,2024-08-20
REV00207,EMP01432,Q4 2023,EMP01038,5,57,9,10,8,3,5,Reliable and consistent,Strategic thinking,No,18,6.0,2024-08-26
REV00208,EMP01790,Q2 2024,EMP01078,3,76,6,6,5,1,5,Problem solver,Time management,Yes,0,2.01,2024-10-13
REV00209,EMP01860,Q4 2024,EMP01089,3,54,8,8,9,6,5,Reliable and consistent,Communication clarity,No,20,1.28,2023-12-21
REV00210,EMP01635,Annual 2023,EMP01056,4,88,7,3,7,10,3,Team player,Communication clarity,No,10,8.21,2023-01-09
REV00211,EMP01054,Annual 2023,EMP01011,4,56,6,6,4,10,6,Problem solver,Documentation,Yes,12,7.24,2024-04-10
REV00212,EMP01701,Annual 2023,EMP01076,4,53,3,6,3,5,6,Customer focused,Time management,Yes,7,10.0,2023-04-30
REV00213,EMP01095,Q4 2023,EMP01001,3,102,4,4,6,9,4,Leadership potential,Communication clarity,Yes,18,6.69,2023-05-08
REV00214,EMP01489,Q1 2024,EMP01085,3,114,5,5,4,9,8,Customer focused,Time management,No,2,3.08,2024-12-01
REV00215,EMP01886,Q2 2024,EMP01019,3,105,10,2,1,6,5,Problem solver,Technical depth,No,5,7.49,2024-05-10
REV00216,EMP01312,Q4 2024,EMP01044,3,75,4,4,2,7,2,Problem solver,Time management,No,19,2.27,2024-07-16
REV00217,EMP01610,Annual 2023,EMP01069,4,100,9,5,3,8,8,Reliable and consistent,Time management,Yes,7,4.57,2024-03-26
REV00218,EMP02158,Q2 2024,EMP01091,1,115,8,6,1,7,7,Great communicator,Documentation,No,17,3.82,2024-02-10
REV00219,EMP01754,Q3 2024,EMP01073,5,77,2,7,5,10,4,Team player,Time management,Yes,2,3.88,2024-10-14
REV00220,EMP02033,Q4 2024,EMP01078,3,43,3,7,3,2,9,Strong technical skills,Stakeholder management,Yes,7,7.75,2024-02-23
REV00221,EMP01368,Q2 2024,EMP01089,3,87,2,9,6,3,3,Great communicator,Stakeholder management,Yes,12,1.84,2024-12-12
REV00222,EMP01094,Annual 2024,EMP01074,3,70,10,9,8,2,5,Innovative thinker,Documentation,Yes,8,3.77,2023-07-23
REV00223,EMP01048,Q1 2024,EMP01053,4,77,6,8,8,8,5,Great communicator,Documentation,Yes,13,8.4,2023-12-21
REV00224,EMP01147,Q4 2024,EMP01021,3,91,4,4,3,6,4,Team player,Documentation,No,6,1.36,2024-04-12
REV00225,EMP02073,Q3 2024,EMP01054,4,104,7,7,1,8,1,Problem solver,Technical depth,Yes,14,7.47,2024-01-26
REV00226,EMP01617,Q4 2023,EMP01009,1,89,10,6,1,9,6,Problem solver,Stakeholder management,Yes,1,4.79,2024-09-23
REV00227,EMP01590,Q3 2024,EMP01022,3,66,3,7,5,8,5,Great communicator,Documentation,Yes,2,2.63,2023-10-06
REV00228,EMP01026,Annual 2023,EMP01033,4,73,4,10,7,9,5,Team player,Technical depth,No,12,1.45,2023-01-06
REV00229,EMP01101,Q4 2024,EMP01039,4,59,1,9,8,2,7,Team player,Strategic thinking,No,3,6.33,2024-12-28
REV00230,EMP01992,Q4 2024,EMP01057,4,58,8,2,10,2,9,Team player,Strategic thinking,Yes,19,5.81,2024-09-10
REV00231,EMP01188,Q1 2024,EMP01063,3,40,2,9,2,8,6,Customer focused,Stakeholder management,Yes,3,5.6,2024-06-16
REV00232,EMP01623,Annual 2023,EMP01047,3,80,3,3,7,3,5,Great communicator,Technical depth,No,16,6.53,2023-06-22
REV00233,EMP01738,Q1 2024,EMP01055,5,91,7,6,2,8,8,Team player,Time management,No,2,8.61,2024-04-16
REV00234,EMP01428,Q4 2024,EMP01043,3,70,6,3,8,7,3,Reliable and consistent,Technical depth,No,7,9.57,2024-03-09
REV00235,EMP01964,Q3 2024,EMP01081,2,106,3,6,7,7,6,Great communicator,Stakeholder management,No,19,1.99,2023-06-23
REV00236,EMP01675,Q1 2024,EMP01099,3,108,4,7,3,9,2,Team player,Technical depth,Yes,7,8.06,2023-01-25
REV00237,EMP01275,Q2 2024,EMP01044,3,41,8,5,10,7,9,Customer focused,Technical depth,No,9,6.81,2023-10-30
REV00238,EMP01620,Annual 2023,EMP01086,3,72,9,3,2,9,8,Team player,Strategic thinking,No,5,1.95,2023-05-11
REV00239,EMP01481,Q3 2024,EMP01027,4,102,8,5,1,6,1,Team player,Time management,Yes,2,2.87,2024-11-12
REV00240,EMP01549,Q3 2024,EMP01034,2,93,6,7,10,10,7,Team player,Strategic thinking,No,8,3.64,2024-05-18
REV00241,EMP01117,Q2 2024,EMP01069,3,61,6,4,9,4,5,Great communicator,Time management,No,11,7.99,2023-05-19
REV00242,EMP01889,Annual 2023,EMP01085,4,119,8,7,7,6,7,Problem solver,Documentation,Yes,13,8.36,2024-10-08
REV00243,EMP01076,Annual 2024,EMP01063,3,117,4,4,7,8,8,Customer focused,Technical depth,Yes,3,1.3,2024-12-01
REV00244,EMP01812,Q3 2024,EMP01035,3,100,2,2,9,3,1,Strong technical skills,Communication clarity,Yes,1,6.6,2023-09-09
REV00245,EMP01488,Annual 2023,EMP01014,4,63,8,2,8,4,3,Strong technical skills,Communication clarity,Yes,0,4.93,2024-02-09
REV00246,EMP01414,Q4 2023,EMP01025,4,52,9,5,8,9,9,Customer focused,Documentation,No,14,5.73,2024-06-08
REV00247,EMP01444,Q3 2024,EMP01071,5,120,8,10,6,8,10,Customer focused,Time management,Yes,9,8.86,2023-03-30
REV00248,EMP01663,Q4 2024,EMP01071,5,93,2,10,1,7,10,Problem solver,Communication clarity,No,11,1.87,2024-07-05
REV00249,EMP01947,Annual 2024,EMP01096,4,66,3,8,9,7,7,Leadership potential,Strategic thinking,No,18,5.73,2023-05-30
REV00250,EMP01032,Q1 2024,EMP01006,3,89,6,1,4,1,6,Problem solver,Technical depth,Yes,3,3.45,2023-06-22
REV00251,EMP01064,Annual 2023,EMP01020,3,92,6,2,4,4,6,Problem solver,Strategic thinking,Yes,19,4.36,2024-03-23
REV00252,EMP01080,Q2 2024,EMP01070,4,120,10,7,2,1,9,Innovative thinker,Documentation,No,5,7.8,2024-08-27
REV00253,EMP01685,Q1 2024,EMP01087,3,80,4,9,7,9,8,Leadership potential,Time management,No,18,5.04,2024-05-17
REV00254,EMP01545,Q2 2024,EMP01027,2,65,6,5,6,7,2,Innovative thinker,Documentation,No,3,4.1,2023-07-22
REV00255,EMP01975,Q4 2024,EMP01022,4,78,9,10,10,6,4,Great communicator,Communication clarity,Yes,1,5.68,2023-12-06
REV00256,EMP01838,Q1 2024,EMP01065,3,43,3,5,2,8,1,Team player,Stakeholder management,Yes,5,8.96,2024-05-17
REV00257,EMP02057,Q2 2024,EMP01007,3,66,5,3,5,2,5,Customer focused,Time management,No,18,9.09,2024-02-07
REV00258,EMP01240,Annual 2024,EMP01096,2,101,8,10,5,3,10,Problem solver,Time management,Yes,3,5.46,2024-05-22
REV00259,EMP01397,Q4 2024,EMP01033,4,50,6,2,8,6,1,Customer focused,Documentation,No,13,3.12,2023-08-19
REV00260,EMP01210,Q3 2024,EMP01058,4,75,10,7,2,10,7,Reliable and consistent,Time management,No,12,4.53,2024-05-07
REV00261,EMP01134,Q3 2024,EMP01002,3,46,7,6,9,7,9,Leadership potential,Communication clarity,No,14,5.6,2024-12-14
REV00262,EMP02098,Q4 2023,EMP01049,4,99,2,3,2,10,10,Team player,Documentation,No,2,5.43,2024-05-04
REV00263,EMP01002,Annual 2023,EMP01097,5,41,1,3,3,8,10,Leadership potential,Communication clarity,Yes,9,4.03,2024-03-29
REV00264,EMP01731,Annual 2024,EMP01038,3,65,1,1,4,10,9,Customer focused,Strategic thinking,Yes,13,9.89,2023-10-21
REV00265,EMP01613,Q3 2024,EMP01095,5,79,10,2,9,7,9,Innovative thinker,Strategic thinking,No,15,7.27,2024-09-08
REV00266,EMP02037,Q2 2024,EMP01061,4,40,4,10,3,3,7,Leadership potential,Strategic thinking,No,0,6.83,2023-07-31
REV00267,EMP01676,Q3 2024,EMP01067,3,102,9,6,5,6,8,Leadership potential,Technical depth,No,0,6.22,2023-09-24
REV00268,EMP02094,Q4 2023,EMP01098,3,42,9,2,4,3,3,Problem solver,Technical depth,No,11,1.17,2023-03-19
REV00269,EMP01202,Q2 2024,EMP01077,3,79,4,6,1,10,5,Reliable and consistent,Technical depth,No,7,1.88,2024-08-06
REV00270,EMP01222,Annual 2023,EMP01060,5,94,3,3,5,8,8,Leadership potential,Time management,No,17,2.37,2024-11-27
REV00271,EMP01726,Q1 2024,EMP01022,4,48,1,1,3,5,6,Leadership potential,Technical depth,Yes,20,5.14,2024-08-24
REV00272,EMP01353,Q4 2024,EMP01036,4,89,10,8,10,4,4,Team player,Communication clarity,No,6,7.52,2024-06-23
REV00273,EMP01643,Annual 2024,EMP01055,4,66,9,7,9,10,9,Problem solver,Technical depth,No,3,9.64,2023-08-04
REV00274,EMP01810,Annual 2024,EMP01089,4,108,2,7,6,3,3,Team player,Technical depth,Yes,15,8.27,2024-10-12
REV00275,EMP01878,Annual 2024,EMP01091,4,70,8,9,8,4,6,Problem solver,Time management,No,19,5.7,2024-01-21
REV00276,EMP01750,Q3 2024,EMP01041,5,116,7,1,4,4,5,Problem solver,Strategic thinking,No,11,1.52,2024-02-09
REV00277,EMP01669,Q2 2024,EMP01033,5,59,7,7,3,9,2,Strong technical skills,Stakeholder management,No,14,5.11,2024-03-30
REV00278,EMP02188,Annual 2024,EMP01039,4,92,8,4,10,8,2,Great communicator,Strategic thinking,Yes,11,6.87,2024-03-24
REV00279,EMP01392,Q4 2023,EMP01081,4,113,10,4,4,1,6,Team player,Documentation,No,8,1.39,2024-03-10
REV00280,EMP01232,Q3 2024,EMP01055,2,55,1,4,4,3,5,Customer focused,Stakeholder management,No,12,4.15,2024-06-24
REV00281,EMP01782,Q3 2024,EMP01037,4,54,10,9,7,7,2,Team player,Communication clarity,No,9,1.19,2023-09-01
REV00282,EMP01528,Q4 2023,EMP01041,3,99,7,4,10,9,6,Customer focused,Communication clarity,No,16,3.91,2023-01-12
REV00283,EMP01671,Q2 2024,EMP01020,4,78,4,9,6,9,1,Strong technical skills,Strategic thinking,No,18,9.22,2024-03-15
REV00284,EMP01627,Annual 2023,EMP01026,5,112,3,5,6,1,6,Great communicator,Technical depth,No,0,3.79,2024-04-23
REV00285,EMP02094,Q2 2024,EMP01098,3,117,8,6,5,4,5,Reliable and consistent,Communication clarity,No,9,6.57,2024-02-06
REV00286,EMP01147,Annual 2023,EMP01021,2,103,10,10,8,8,3,Problem solver,Communication clarity,No,13,3.77,2024-01-23
REV00287,EMP02066,Annual 2023,EMP01032,2,81,4,4,1,1,3,Customer focused,Time management,No,14,7.98,2023-03-03
REV00288,EMP01683,Annual 2024,EMP01037,3,118,8,7,10,4,9,Strong technical skills,Technical depth,Yes,8,4.23,2024-07-21
REV00289,EMP01547,Annual 2023,EMP01077,4,41,2,7,9,2,3,Strong technical skills,Stakeholder management,Yes,0,1.49,2024-02-17
REV00290,EMP01892,Annual 2024,EMP01047,4,119,2,6,6,9,6,Team player,Strategic thinking,No,4,8.8,2023-09-20
REV00291,EMP01465,Q3 2024,EMP01029,5,83,3,4,3,3,2,Innovative thinker,Documentation,No,19,3.78,2023-03-27
REV00292,EMP01279,Q4 2024,EMP01039,5,113,10,6,2,8,7,Team player,Communication clarity,Yes,7,5.96,2023-11-21
REV00293,EMP01627,Q4 2024,EMP01026,3,45,8,1,6,7,10,Reliable and consistent,Documentation,Yes,0,8.56,2023-08-02
REV00294,EMP01592,Q1 2024,EMP01036,4,48,3,9,8,5,1,Great communicator,Time management,No,6,9.83,2024-12-04
REV00295,EMP01543,Q4 2024,EMP01089,4,69,9,3,2,5,6,Problem solver,Strategic thinking,No,16,6.25,2024-08-17
REV00296,EMP01822,Q4 2023,EMP01016,2,113,4,1,3,9,5,Strong technical skills,Technical depth,No,2,5.52,2023-02-18
REV00297,EMP01467,Q4 2023,EMP01066,5,111,4,2,10,2,3,Leadership potential,Time management,Yes,17,4.18,2024-06-24
REV00298,EMP01824,Q4 2023,EMP01006,3,118,9,2,9,5,5,Strong technical skills,Strategic thinking,No,17,9.49,2024-03-14
REV00299,EMP01512,Q3 2024,EMP01002,4,119,3,8,1,6,5,Customer focused,Technical depth,No,15,1.33,2024-02-13
REV00300,EMP01551,Q2 2024,EMP01054,3,46,6,7,1,10,5,Innovative thinker,Documentation,No,3,4.25,2023-04-10
REV00301,EMP01202,Annual 2024,EMP01077,5,68,6,1,7,7,6,Leadership potential,Stakeholder management,Yes,11,1.26,2023-12-24
REV00302,EMP01902,Q1 2024,EMP01010,5,86,6,8,7,6,8,Team player,Stakeholder management,No,7,6.25,2024-09-08
REV00303,EMP01449,Q4 2023,EMP01010,3,99,3,10,10,1,4,Reliable and consistent,Communication clarity,Yes,18,7.59,2024-02-01
REV00304,EMP02192,Annual 2024,EMP01002,1,55,1,3,8,7,5,Customer focused,Time management,Yes,5,3.26,2024-10-29
REV00305,EMP01337,Q2 2024,EMP01007,2,49,10,1,3,7,7,Problem solver,Communication clarity,No,14,2.73,2024-10-09
REV00306,EMP01805,Q1 2024,EMP01081,4,71,1,10,9,4,2,Innovative thinker,Technical depth,No,7,5.42,2023-01-14
REV00307,EMP01302,Q3 2024,EMP01006,3,65,3,9,8,5,3,Reliable and consistent,Stakeholder management,Yes,12,9.68,2024-07-19
REV00308,EMP01568,Q4 2023,EMP01093,4,44,6,9,1,1,1,Reliable and consistent,Strategic thinking,No,11,9.29,2024-12-17
REV00309,EMP02102,Q2 2024,EMP01040,4,81,8,6,1,2,6,Innovative thinker,Communication clarity,No,10,5.09,2023-04-20
REV00310,EMP01814,Annual 2023,EMP01055,1,101,8,10,5,10,2,Innovative thinker,Strategic thinking,No,3,4.13,2024-10-11
REV00311,EMP02149,Annual 2024,EMP01043,2,77,5,7,7,2,10,Reliable and consistent,Technical depth,Yes,14,1.84,2023-01-04
REV00312,EMP01584,Q3 2024,EMP01005,3,58,7,7,7,9,9,Reliable and consistent,Technical depth,Yes,10,3.11,2024-10-11
REV00313,EMP02002,Q4 2023,EMP01082,3,103,7,7,6,10,10,Reliable and consistent,Strategic thinking,No,1,2.52,2023-08-23
REV00314,EMP01408,Q3 2024,EMP01051,5,56,4,9,2,7,3,Problem solver,Stakeholder management,No,8,5.59,2023-11-14
REV00315,EMP01896,Annual 2023,EMP01011,2,90,2,5,7,3,9,Team player,Stakeholder management,No,10,5.84,2023-03-03
REV00316,EMP01964,Q3 2024,EMP01081,4,65,2,6,2,4,2,Team player,Technical depth,No,3,8.34,2024-03-30
REV00317,EMP01008,Q2 2024,EMP01063,4,100,4,5,5,8,10,Team player,Stakeholder management,No,5,3.04,2024-09-27
REV00318,EMP02188,Annual 2023,EMP01039,2,88,2,10,7,9,3,Problem solver,Technical depth,No,17,4.07,2024-06-19
REV00319,EMP02200,Q3 2024,EMP01010,4,55,4,6,8,5,1,Customer focused,Technical depth,No,8,1.25,2024-04-07
REV00320,EMP01285,Q4 2024,EMP01091,4,113,7,2,8,6,7,Reliable and consistent,Stakeholder management,No,18,6.15,2023-02-26
REV00321,EMP01557,Q1 2024,EMP01054,4,71,5,5,3,6,2,Great communicator,Strategic thinking,Yes,19,3.85,2023-12-08
REV00322,EMP01455,Q1 2024,EMP01042,4,56,5,2,6,3,9,Leadership potential,Communication clarity,Yes,17,3.26,2023-03-10
REV00323,EMP01616,Annual 2024,EMP01008,4,97,1,7,5,10,2,Innovative thinker,Technical depth,Yes,6,9.99,2024-05-19
REV00324,EMP02009,Q3 2024,EMP01029,5,42,2,6,7,10,2,Innovative thinker,Stakeholder management,Yes,12,7.16,2023-11-02
REV00325,EMP01114,Q3 2024,EMP01061,3,100,7,9,5,1,10,Great communicator,Communication clarity,Yes,2,6.66,2024-06-02
REV00326,EMP01103,Q1 2024,EMP01098,4,102,2,10,6,8,2,Innovative thinker,Technical depth,Yes,9,6.25,2023-04-12
REV00327,EMP01412,Q4 2024,EMP01069,5,85,6,9,4,9,8,Team player,Stakeholder management,No,1,9.6,2024-04-23
REV00328,EMP01257,Q4 2024,EMP01017,3,49,9,1,9,5,4,Great communicator,Stakeholder management,No,9,5.77,2024-04-24
REV00329,EMP02043,Q2 2024,EMP01069,5,42,10,10,1,8,1,Innovative thinker,Documentation,No,8,3.26,2023-01-04
REV00330,EMP01348,Q1 2024,EMP01019,4,88,1,5,6,2,10,Strong technical skills,Strategic thinking,Yes,16,5.31,2023-08-05
REV00331,EMP01080,Q1 2024,EMP01070,3,88,4,3,8,3,3,Team player,Stakeholder management,No,13,6.52,2023-11-28
REV00332,EMP01091,Q3 2024,EMP01025,5,58,7,1,6,10,1,Innovative thinker,Stakeholder management,No,11,2.9,2023-05-25
REV00333,EMP01243,Q4 2023,EMP01089,4,86,5,10,4,1,6,Team player,Strategic thinking,No,6,7.92,2024-01-14
REV00334,EMP01140,Q2 2024,EMP01087,4,118,10,7,5,3,7,Strong technical skills,Documentation,No,1,7.44,2024-09-16
REV00335,EMP01816,Q4 2024,EMP01033,4,60,8,5,1,6,2,Innovative thinker,Documentation,No,3,9.25,2024-02-01
REV00336,EMP01429,Q1 2024,EMP01025,4,117,10,2,4,7,6,Leadership potential,Technical depth,Yes,20,9.8,2023-06-10
REV00337,EMP02019,Q3 2024,EMP01071,5,62,7,1,1,7,3,Problem solver,Communication clarity,No,16,3.34,2024-01-04
REV00338,EMP01668,Q4 2024,EMP01032,5,64,9,10,6,10,5,Reliable and consistent,Strategic thinking,No,5,2.4,2023-03-07
REV00339,EMP01936,Q4 2023,EMP01083,3,102,6,3,10,5,10,Customer focused,Stakeholder management,Yes,12,4.3,2023-04-15
REV00340,EMP01240,Q4 2024,EMP01096,5,105,10,6,7,4,9,Team player,Stakeholder management,No,13,4.81,2024-04-09
REV00341,EMP01090,Q2 2024,EMP01023,2,40,2,3,3,2,4,Team player,Documentation,No,15,4.21,2023-08-04
REV00342,EMP01936,Annual 2024,EMP01083,4,73,3,2,5,5,9,Team player,Technical depth,Yes,10,7.79,2024-04-09
REV00343,EMP01425,Q4 2024,EMP01077,4,120,4,10,7,9,4,Problem solver,Technical depth,No,11,8.81,2023-08-09
REV00344,EMP01058,Q4 2024,EMP01001,5,83,4,6,3,2,6,Great communicator,Stakeholder management,No,9,8.11,2024-03-06
REV00345,EMP01036,Annual 2024,EMP01004,3,108,10,10,3,5,8,Great communicator,Technical depth,No,10,4.74,2023-04-18
REV00346,EMP01031,Q4 2024,EMP01043,1,49,1,4,1,3,3,Great communicator,Documentation,No,6,6.24,2024-01-08
REV00347,EMP01155,Q2 2024,EMP01095,2,93,10,9,4,3,4,Problem solver,Strategic thinking,Yes,8,1.89,2023-05-10
REV00348,EMP01243,Q4 2023,EMP01089,5,120,3,7,3,2,5,Innovative thinker,Technical depth,No,15,1.96,2024-10-23
REV00349,EMP01060,Q3 2024,EMP01066,3,119,7,8,9,8,8,Strong technical skills,Time management,Yes,20,4.18,2024-09-12
REV00350,EMP01147,Q2 2024,EMP01021,3,108,5,3,4,3,7,Team player,Technical depth,Yes,8,4.73,2024-11-27
REV00351,EMP01065,Q2 2024,EMP01099,3,89,10,4,2,1,6,Customer focused,Time management,No,14,3.23,2023-07-25
REV00352,EMP02027,Q4 2024,EMP01085,2,77,6,6,3,8,9,Customer focused,Stakeholder management,No,20,4.43,2023-07-06
REV00353,EMP01315,Q3 2024,EMP01055,3,114,4,1,10,10,10,Leadership potential,Strategic thinking,No,2,6.4,2024-01-18
REV00354,EMP01024,Q4 2023,EMP01098,4,95,8,10,7,10,10,Team player,Documentation,No,3,9.99,2024-10-23
REV00355,EMP01183,Annual 2023,EMP01099,4,111,8,5,7,2,3,Team player,Documentation,Yes,19,7.26,2023-01-09
REV00356,EMP01058,Q2 2024,EMP01001,3,86,6,2,8,6,9,Leadership potential,Communication clarity,No,6,4.0,2023-07-27
REV00357,EMP01244,Q4 2023,EMP01073,1,104,10,10,7,7,7,Leadership potential,Strategic thinking,Yes,17,8.5,2023-10-03
REV00358,EMP01311,Q1 2024,EMP01003,2,60,2,1,7,6,2,Innovative thinker,Documentation,No,8,8.58,2023-07-31
REV00359,EMP02149,Q4 2024,EMP01043,5,86,5,4,2,1,6,Reliable and consistent,Stakeholder management,No,2,6.97,2023-07-29
REV00360,EMP01996,Q1 2024,EMP01029,5,58,8,6,10,7,1,Reliable and consistent,Strategic thinking,No,19,5.06,2023-07-13
REV00361,EMP01484,Annual 2024,EMP01013,4,66,5,3,4,2,5,Innovative thinker,Technical depth,No,3,2.52,2024-12-25
REV00362,EMP01797,Q4 2023,EMP01049,1,57,1,10,9,2,9,Strong technical skills,Documentation,Yes,1,6.88,2024-09-25
REV00363,EMP01850,Q1 2024,EMP01060,3,78,2,5,1,6,1,Reliable and consistent,Time management,Yes,7,7.07,2024-05-05
REV00364,EMP01921,Q3 2024,EMP01079,4,116,7,4,7,5,2,Problem solver,Communication clarity,No,9,5.07,2023-11-24
REV00365,EMP02013,Q3 2024,EMP01090,4,113,3,5,6,4,10,Leadership potential,Time management,Yes,4,3.28,2024-07-03
REV00366,EMP01124,Q4 2023,EMP01063,3,120,5,3,6,4,10,Leadership potential,Strategic thinking,Yes,20,2.67,2024-03-18
REV00367,EMP01729,Annual 2024,EMP01038,3,112,2,9,9,2,3,Problem solver,Technical depth,No,12,2.11,2023-09-23
REV00368,EMP01236,Annual 2024,EMP01099,4,117,8,1,3,1,10,Customer focused,Strategic thinking,Yes,19,4.92,2023-09-10
REV00369,EMP01518,Annual 2024,EMP01076,5,80,10,2,2,8,6,Team player,Communication clarity,Yes,14,1.49,2024-11-17
REV00370,EMP01509,Q2 2024,EMP01092,3,116,8,1,9,7,1,Innovative thinker,Documentation,No,14,7.87,2023-12-20
REV00371,EMP01800,Q4 2023,EMP01002,3,87,4,8,2,8,3,Strong technical skills,Documentation,Yes,10,3.07,2023-08-21
REV00372,EMP01041,Q1 2024,EMP01076,3,63,6,7,10,7,5,Customer focused,Technical depth,Yes,6,9.32,2023-08-30
REV00373,EMP01104,Q1 2024,EMP01091,3,116,7,9,4,10,5,Innovative thinker,Communication clarity,No,13,6.9,2023-07-22
REV00374,EMP01128,Q3 2024,EMP01031,3,67,1,10,10,1,4,Innovative thinker,Documentation,No,3,3.22,2023-12-31
REV00375,EMP01552,Annual 2023,EMP01080,3,88,7,8,2,4,7,Innovative thinker,Stakeholder management,No,10,1.75,2023-11-05
REV00376,EMP01474,Q2 2024,EMP01066,3,57,4,3,6,4,5,Reliable and consistent,Documentation,No,19,5.02,2024-09-19
REV00377,EMP01825,Q2 2024,EMP01006,4,116,7,6,8,8,6,Team player,Documentation,No,11,2.59,2024-11-16
REV00378,EMP01884,Q4 2023,EMP01087,1,89,5,1,7,5,2,Problem solver,Communication clarity,Yes,10,3.53,2023-06-09
REV00379,EMP01449,Q3 2024,EMP01010,5,104,4,1,8,6,1,Great communicator,Stakeholder management,No,4,5.48,2023-01-22
REV00380,EMP01279,Annual 2023,EMP01039,3,54,5,2,1,6,3,Leadership potential,Strategic thinking,No,6,8.39,2024-02-28
REV00381,EMP01437,Q2 2024,EMP01070,4,59,2,3,7,5,6,Innovative thinker,Communication clarity,No,15,4.76,2024-10-25
REV00382,EMP02124,Q4 2023,EMP01065,4,95,8,5,7,8,3,Leadership potential,Strategic thinking,No,13,7.38,2023-01-05
REV00383,EMP02150,Q1 2024,EMP01074,4,66,4,3,8,10,9,Problem solver,Time management,No,0,2.54,2024-03-03
REV00384,EMP01976,Annual 2024,EMP01076,4,117,10,7,2,5,10,Innovative thinker,Strategic thinking,Yes,17,4.17,2023-11-12
REV00385,EMP02073,Q4 2023,EMP01054,3,55,7,1,4,9,5,Reliable and consistent,Documentation,No,12,1.26,2024-03-04
REV00386,EMP01748,Q2 2024,EMP01098,5,104,8,10,6,7,2,Innovative thinker,Time management,Yes,18,9.22,2024-01-27
REV00387,EMP01104,Annual 2023,EMP01091,5,118,3,10,4,3,6,Customer focused,Strategic thinking,No,1,9.2,2024-05-31
REV00388,EMP01488,Annual 2024,EMP01014,5,94,10,1,4,1,4,Innovative thinker,Documentation,No,2,1.71,2023-02-20
REV00389,EMP01201,Q4 2023,EMP01019,3,57,4,9,6,10,6,Great communicator,Documentation,No,18,6.64,2023-02-06
REV00390,EMP01670,Q2 2024,EMP01019,3,66,4,6,9,3,4,Team player,Strategic thinking,No,19,7.08,2023-03-11
REV00391,EMP01154,Annual 2023,EMP01061,2,70,10,10,8,8,4,Customer focused,Strategic thinking,No,14,5.96,2024-04-24
REV00392,EMP01564,Q4 2023,EMP01002,5,60,4,7,1,9,5,Problem solver,Communication clarity,No,12,8.29,2024-02-22
REV00393,EMP01478,Q1 2024,EMP01031,3,73,9,7,6,8,5,Team player,Time management,No,4,8.38,2024-01-27
REV00394,EMP01765,Q1 2024,EMP01005,3,111,5,10,10,2,10,Customer focused,Communication clarity,Yes,5,8.59,2024-06-10
REV00395,EMP01118,Q1 2024,EMP01087,3,40,9,5,4,4,10,Great communicator,Technical depth,Yes,18,7.35,2023-04-29
REV00396,EMP02103,Q1 2024,EMP01041,4,96,10,7,4,4,1,Reliable and consistent,Time management,No,8,6.14,2023-12-14
REV00397,EMP01080,Annual 2024,EMP01070,3,70,3,8,2,10,3,Strong technical skills,Communication clarity,No,8,9.79,2024-10-27
REV00398,EMP01390,Annual 2024,EMP01016,5,92,2,7,10,4,7,Problem solver,Technical depth,Yes,16,7.67,2023-12-05
REV00399,EMP01167,Annual 2023,EMP01089,4,69,3,4,9,2,4,Customer focused,Time management,Yes,15,7.41,2023-10-29
REV00400,EMP01114,Q1 2024,EMP01032,4,60,3,7,6,10,5,Great communicator,Documentation,Yes,4,4.24,2024-06-30
REV00401,EMP01307,Q4 2024,EMP01013,3,95,4,6,8,9,2,Great communicator,Stakeholder management,Yes,8,7.43,2024-02-25
REV00402,EMP01721,Q3 2024,EMP01062,2,64,3,10,1,2,1,Problem solver,Strategic thinking,Yes,10,5.69,2024-11-21
REV00403,EMP01496,Annual 2023,EMP01070,2,52,9,6,9,2,2,Strong technical skills,Time management,Yes,12,1.41,2023-07-15
REV00404,EMP02121,Annual 2023,EMP01059,3,83,10,7,9,3,9,Strong technical skills,Time management,Yes,1,5.84,2023-05-24
REV00405,EMP02014,Q2 2024,EMP01046,3,69,2,7,8,7,7,Strong technical skills,Communication clarity,No,3,4.57,2024-08-20
REV00406,EMP01265,Q4 2023,EMP01068,5,111,9,5,8,9,8,Great communicator,Strategic thinking,Yes,19,2.79,2024-06-28
REV00407,EMP01340,Q3 2024,EMP01007,4,96,1,6,2,1,5,Customer focused,Communication clarity,Yes,20,5.99,2023-07-09
REV00408,EMP01753,Q2 2024,EMP01013,3,50,5,9,3,5,2,Innovative thinker,Documentation,No,0,3.47,2023-10-30
REV00409,EMP01450,Q4 2023,EMP01098,4,108,10,5,3,6,10,Leadership potential,Communication clarity,Yes,18,9.39,2023-01-17
REV00410,EMP02110,Q1 2024,EMP01021,5,115,8,7,9,10,4,Team player,Technical depth,Yes,0,1.55,2023-04-17
REV00411,EMP01904,Q3 2024,EMP01012,4,65,1,4,1,8,7,Leadership potential,Time management,No,0,4.48,2023-04-19
REV00412,EMP01562,Annual 2023,EMP01022,4,111,5,7,5,9,3,Strong technical skills,Strategic thinking,No,15,2.14,2023-11-13
REV00413,EMP02124,Q4 2024,EMP01065,5,49,9,2,9,7,10,Leadership potential,Strategic thinking,No,7,8.03,2023-09-18
